"Activity Period","Operating Airline","Operating Airline IATA Code","Published Airline","Published Airline IATA Code","GEO Summary","GEO Region","Activity Type Code","Price Category Code","Price Category Code_extracted",Terminal,"Boarding Area","Passenger Count"
201705,"Trego Dugan Aviation",,"Trego Dugan Aviation",,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,108
200905,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,108
200812,"Northwest Airlines",NW,"Northwest Airlines",NW,International,Asia,"Thru / Transit",Other,,International,A,108
200509,"BelAir Airlines",4T,"BelAir Airlines",4T,International,Europe,Deplaned,Other,,International,A,108
201504,"United Airlines",UA,"United Airlines",UA,International,Mexico,Enplaned,Other,,"Terminal 3",E,109
201510,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,110
201410,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,110
201112,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,110
201101,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,110
200803,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,110
201702,"United Airlines",UA,"United Airlines",UA,International,Europe,Enplaned,Other,,"Terminal 3",E,111
201704,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,International,G,112
200609,"BelAir Airlines",4T,"BelAir Airlines",4T,International,Europe,"Thru / Transit",Other,,International,A,112
201603,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,114
201511,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Deplaned,"Low Fare","Low Fare",International,G,114
201510,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Deplaned,"Low Fare","Low Fare",International,G,114
201207,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,114
